1.1.1练习A·1	0.687[ratio]↔F2·4
1.1.1练习A·2	1.000[conf]↔F2·10
1.1.1练习A·3	0.552[ratio]↔F2·27
1.1.1练习A·4	—
1.1.1练习A·5	0.679[ratio]↔F2·10
1.1.1练习B·1	—
1.1.1练习B·2	0.622[ratio]↔slice-03·导-P4
1.1.1练习B·3	—
1.1.1练习B·4	—
1.1.1练习B·5	—
1.1.1练习B·6	—
1.1.2练习A·1	—
1.1.2练习A·2	—
1.1.2练习A·3	—
1.1.2练习A·4	—
1.1.2练习A·5	—
1.1.2练习B·1	—
1.1.2练习B·2	—
1.1.2练习B·3	—
1.1.2练习B·4	—
1.1.2练习B·5	1.000[conf]↔讲下·1.2.5.5.1-13
1.1.3练习A·1	0.633[ratio]↔F2·10
1.1.3练习A·2	0.848[ratio]↔F4·11
1.1.3练习A·3	0.743[ratio]↔F4·13
1.1.3练习A·4	0.743[ratio]↔F4·13
1.1.3练习A·5	—
1.1.3练习A·6	—
1.1.3练习A·7	0.615[ratio]↔F4·10
1.1.3练习A·8	0.596[ratio]↔F4·11
1.1.3练习A·9	0.609[ratio]↔F4·11
1.1.3练习B·1	0.706[ratio]↔F2·10
1.1.3练习B·2	1.000[conf]↔F2·26
1.1.3练习B·3	0.720[ratio]↔F2·10
1.1.3练习B·4	0.717[ratio]↔F2·10
1.1.3练习B·5	0.750[ratio]↔slice-05·测-6
1.1.3练习B·6	—
1.1.3练习B·7	1.000[conf]↔F2·26
1.1.3练习B·8	0.788[ratio]↔F4·15
1.1.3练习B·9	0.706[ratio]↔F4·12
习题1—1"·1	1.000[conf]↔slice-02·导-T5-变1
习题1—1"·2	0.596[ratio]↔F4·11
习题1—1"·3	—
习题1—1"·4	—
习题1—1"·5	0.611[ratio]↔F4·11
习题1—1"·6	0.556[ratio]↔F4·12
习题1—1"·7	—
习题1—1"·8	—
习题1—1"·9	—
习题1—1#·1	0.652[ratio]↔slice-03·导-P4
习题1—1#·2	—
习题1—1#·3	—
习题1—1#·4	—
习题1—1#·5	—
习题1—1#·6	0.594[ratio]↔F2·15
习题1—1#·7	—
习题1—1#·8	—
习题1—1#·9	—
习题1—1$·1	—
习题1—1$·2	0.650[ratio]↔slice-02·导-T4-变1
习题1—1$·3	—
习题1—1$·4	—
习题1—1$·5	—
1.2.1练习A·1	0.600[ratio]↔F5·1
1.2.1练习A·2	—
1.2.1练习A·3	—
1.2.1练习A·4	0.567[ratio]↔F4·15
1.2.1练习A·5	—
1.2.1练习B·1	—
1.2.1练习B·2	0.711[ratio]↔F4·10
1.2.1练习B·3	—
1.2.1练习B·4	—
1.2.1练习B·5	1.000[conf]↔F3·10
1.2.2练习A·1	—
1.2.2练习A·2	—
1.2.2练习A·3	0.552[ratio]↔F5·6
1.2.2练习B·1	—
1.2.2练习B·2	—
1.2.2练习B·3	0.585[ratio]↔F4·11
1.2.2练习B·4	—
1.2.2练习B·5	—
1.2.3练习A·1	—
1.2.3练习A·2	—
1.2.3练习A·3	—
1.2.3练习B·1	—
1.2.3练习B·2	—
1.2.3练习B·3	0.625[ratio]↔F2·15
1.2.4练习A·1	—
1.2.4练习A·2	—
1.2.4练习A·3	—
1.2.4练习B·1	0.568[ratio]↔F4·15
1.2.4练习B·2	—
1.2.4练习B·3	—
1.2.5练习A·1	—
1.2.5练习A·2	—
1.2.5练习A·3	—
1.2.5练习A·4	—
1.2.5练习A·5	—
1.2.5练习B·1	—
1.2.5练习B·2	—
1.2.5练习B·3	—
1.2.5练习B·4	0.667[ratio]↔F5·12
1.2.5练习B·5	—
习题1—2"·1	—
习题1—2"·2	0.571[ratio]↔F4·11
习题1—2"·3	—
习题1—2"·4	—
习题1—2"·5	—
习题1—2"·6	—
习题1—2"·7	0.568[ratio]↔讲上·1.1.1.7-6
习题1—2"·8	—
习题1—2#·1	—
习题1—2#·2	—
习题1—2#·3	—
习题1—2#·4	—
习题1—2#·5	0.558[ratio]↔讲下·1.2.5.3-3
习题1—2$·1	0.585[ratio]↔F4·11
习题1—2$·2	—
习题1—2$·3	—
习题1—2$·4	—
复习题犃组·1	0.878[ratio]↔F2·10
复习题犃组·2	0.706[ratio]↔F4·15
复习题犃组·3	0.718[ratio]↔F2·10
复习题犃组·4	1.000[conf]↔讲上·1.1.3.4-4
复习题犃组·5	—
复习题犃组·6	1.000[conf]↔slice-02·导-T7-变1
复习题犃组·7	—
复习题犃组·8	0.732[ratio]↔F4·10
复习题犃组·9	0.632[ratio]↔F4·11
复习题犃组·10	—
复习题犃组·11	—
复习题犃组·12	0.602[ratio]↔F2·15
复习题犅组·1	—
复习题犅组·2	0.794[ratio]↔F4·15
复习题犅组·3	—
复习题犅组·4	1.000[conf]↔讲上·1.2.2.3-3
复习题犅组·5	—
复习题犅组·6	0.636[ratio]↔F4·15
复习题犅组·7	0.678[ratio]↔F2·15
复习题犅组·8	—
复习题犅组·9	—
复习题犅组·10	—
复习题犅组·11	—
复习题犅组·12	—
复习题犆组·1	0.636[ratio]↔F2·14
复习题犆组·2	0.652[ratio]↔slice-02·导-T4-变1
复习题犆组·3	—
复习题犆组·4	—
复习题犆组·5	0.586[ratio]↔F2·29
复习题犆组·6	—
