| 01-G1 | 导学 | 成品卷①2.1.2-1 | 简 |
| 01-G2 | 导学 | 2章件2-#35（详解改两点距离版） | 简 |
| 01-G3 | 导学 | 2章件2-#40（详解改两点距离版） | 中 |
| 01-G4 | 导学 | 教材习题2—1·A组① | 简 |
| 01-G5 | 导学 | 教材习题2—1·B组② | 简 |
| 01-E1 | 练习·选择 | 2章件2-#38（详解改中点＋距离版） | 中 |
| 01-E2 | 练习·多选 | 2章件13-#1（有向距离新定义） | 中 |
| 01-E3 | 练习·多选 | 2章件13-#8（折线距离新定义） | 中 |
| 01-E4 | 练习·填空 | 教材习题2—1·A组② | 简 |
| 01-E5 | 练习·填空 | 教材习题2—1·A组⑤ | 简 |
| 01-E6 | 练习·填空 | 教材习题2—1·B组① | 简 |
| 01-E7 | 练习·填空 | 2章件13-#5（点到曲线距离新定义） | 中 |
| 01-E8 | 练习·解答 | 教材习题2—1·A组③ | 中 |
| 01-E9 | 练习·解答 | 教材习题2—1·A组④ | 中 |
| 01-E10 | 练习·解答 | 教材习题2—1·B组③ | 中 |
| 01-E11 | 练习·解答 | 教材习题2—1·B组④ | 中 |
| 01-E12 | 练习·解答 | 教材习题2—1·B组⑤ | 中 |
| 01-E13 | 练习·解答 | 2章件2-#49（详解改向量数量积版） | 中 |
| 01-E14 | 练习·解答 | 新命（教材§2.1"尝试与发现"改编） | 中 |
| 01-T1 | 拓展 | 教材习题2—1·C组① | 难 |
| 01-T2 | 拓展 | 教材习题2—1·C组② | 难 |
| 02-G1 | 导学 | 成品卷①2.2.1.2-1 | 简 |
| 02-G2 | 导学 | 2章件2-#3 | 简 |
| 02-G3 | 导学 | 2章件2-#5 | 简 |
| 02-G4 | 导学 | 教材2.2.1练习A·① | 简 |
| 02-G5 | 导学 | 2章件2-#2 | 简 |
| 02-E1 | 练习·选择 | 成品卷①2.2.1.2-2（国旗图·图债见§六） | 中 |
| 02-E2 | 练习·选择 | 成品卷①2.2.1.3-4 | 简 |
| 02-E3 | 练习·选择 | 2章件2-#6 | 中 |
| 02-E4 | 练习·选择 | 2章件2-#10 | 简 |
| 02-E5 | 练习·选择 | 2章件2-#14 | 简 |
| 02-E6 | 练习·多选 | 2章件2-#18 | 简 |
| 02-E7 | 练习·选择 | 2章件2-#19 | 简 |
| 02-E8 | 练习·选择 | 2章件2-#21 | 简 |
| 02-E9 | 练习·选择 | 2章件14-#1 | 简 |
| 02-E10 | 练习·填空 | 成品卷①2.2.1.3-3 | 简 |
| 02-E11 | 练习·填空 | 2章件2-#7 | 简 |
| 02-E12 | 练习·填空 | 2章件2-#8 | 简 |
| 02-E13 | 练习·解答 | 教材2.2.1练习B·③ | 简 |
| 02-E14 | 练习·解答 | 教材2.2.1练习B·④ | 简 |
| 02-E15 | 练习·解答 | 教材2.2.2练习B·⑤ | 简 |
| 02-E16 | 练习·解答 | 教材习题2—2·A组② | 简 |
| 02-T1 | 拓展 | 教材2.2.1练习B·① | 中 |
| 02-T2 | 拓展 | 2章件2-#26 | 中 |
| 02-T3 | 拓展 | 教材习题2—2·B组① | 中 |
| 02-T4 | 拓展 | 2章件2-#25 | 难 |
| 03-G1 | 导学 | 2章件2-#15 | 简 |
| 03-G2 | 导学 | 2章件2-#33 | 简 |
| 03-G3 | 导学 | 新命A（法向量读斜率） | 简 |
| 03-G4 | 导学 | 成品卷①2.2.1.4-5 | 简 |
| 03-G5 | 导学 | 成品卷①2.2.1.4-6 | 中 |
| 03-E1 | 练习·填空 | 2章件2-#17（#16/#17同族取一） | 简 |
| 03-E2 | 练习·解答 | 2章件2-#24（两问） | 简 |
| 03-E3 | 练习·解答 | 教材2.2.1练习A·③ | 简 |
| 03-E4 | 练习·解答 | 教材2.2.1练习A·④ | 简 |
| 03-E5 | 练习·解答 | 教材2.2.1练习A·⑤ | 简 |
| 03-E6 | 练习·解答 | 教材2.2.2练习B·⑧（两问） | 中 |
| 03-E7 | 练习·解答 | 教材2.2.2练习B·⑨（两问） | 中 |
| 03-E8 | 练习·解答 | 教材习题2—2·B组⑪ | 简 |
| 03-E9 | 练习·解答 | 教材习题2—2·B组⑫（两问） | 中 |
| 03-E10 | 练习·解答 | 教材习题2—2·B组⑬（两问） | 中 |
| 03-E11 | 练习·解答 | 新命B（方向向量与法向量语言证垂直） | 中 |
| 04-G1 | 导学 | 2章件3-#1 | 中 |
| 04-G2 | 导学 | 2章件3-#2 | 简 |
| 04-G3 | 导学 | 成品卷①2.2.2.3-1 | 简 |
| 04-G4 | 导学 | 2章件3-#6 | 简 |
| 04-G5 | 导学 | 2章件3-#7 | 简 |
| 04-E1 | 练习·选择 | 2章件3-#5 | 简 |
| 04-E2 | 练习·选择 | 2章件3-#8 | 中 |
| 04-E3 | 练习·选择 | 2章件4-#4 | 中 |
| 04-E4 | 练习·填空 | 成品卷①2.2.2.3-2 | 中 |
| 04-E5 | 练习·解答 | 教材2.2.2练习A·① | 简 |
| 04-E6 | 练习·解答 | 教材2.2.2练习A·② | 简 |
| 04-E7 | 练习·解答 | 教材2.2.2练习A·③（两问） | 简 |
| 04-E8 | 练习·解答 | 教材2.2.2练习A·④（两问） | 简 |
| 04-E9 | 练习·解答 | 教材2.2.2练习B·③（三小问） | 中 |
