P2轮4改编批A 亲算独立复算（独立路线 vs 命制件答案）
================================================================
[PASS] R4A-01 phi_M=4.0V            复算=4  命制件=4
[PASS] R4A-01 Ep2=2.0e-9J(比例)       复算=2e-09  命制件=2e-09
[PASS] R4A-01 Ep2=2.0e-9J(定义式)      复算=2e-09  命制件=2e-09
[PASS] R4A-04 ΔEp=+2.0e-7J          复算=2e-07  命制件=2e-07
[PASS] R4A-04 W=-2.0e-7J            复算=-2e-07  命制件=-2e-07
[PASS] R4A-07 C=2.0e-6F             复算=2e-06  命制件=2e-06
[PASS] R4A-07 Q(3V)=6.0e-6C         复算=6e-06  命制件=6e-06
[PASS] R4A-07 ΔQ=3.0e-6C            复算=3e-06  命制件=3e-06
[PASS] R4A-09 Q=7.0e-2C             复算=0.07  命制件=0.07
[PASS] R4A-09 U'=1750V(比例)          复算=1750  命制件=1750
[PASS] R4A-09 U'=1750V(定义式)         复算=1750  命制件=1750
[PASS] R4A-10 Ek=3.84e-17J          复算=3.84e-17  命制件=3.84e-17
[PASS] R4A-10 Ek=240eV              复算=240  命制件=240
[PASS] R4A-11 v0≈2.52e7m/s          复算=2.51588e+07  命制件=2.52e+07
[PASS] R4A-11 y=0.010m(分步)          复算=0.01  命制件=0.01
[PASS] R4A-11 y=0.010m(闭式)          复算=0.01  命制件=0.01
[PASS] R4A-11 tanθ=0.50(分步)         复算=0.5  命制件=0.5
[PASS] R4A-11 tanθ=0.50(闭式)         复算=0.5  命制件=0.5
[PASS] R4A-12 Ek=7.2e-18J           复算=7.2e-18  命制件=7.2e-18
[PASS] R4A-12 U=45V                 复算=45  命制件=45
[PASS] R4A-12 E=450V/m              复算=450  命制件=450
[PASS] R4A-03 φ_A＞φ_O               复算=1  命制件=1
[PASS] R4A-03 φ_O＞φ_C               复算=1  命制件=1
[PASS] R4A-05 Ep_N＞Ep_M             复算=1  命制件=1
[PASS] R4A-05 U_MN=+60V＞0           复算=60  命制件=60
================================================================
合计 25/25 一致、0 不一致
