文件：C:/提示词/工作区/字替对照-0909/variantF/main.pdf
拉伸异常行 = 73（空档 107 处）
  p1 y=57.0 [CJK-CJK] '章'→'空' 20.59pt/7.265mm (限10.3)
  p1 y=175.2 [CJK-CJK] '时'→'空' 12.95pt/4.569mm (限6.48)
  p1 y=219.8 [CJK-西文] '.'→'理' 10.46pt/3.691mm (限5.23)
  p1 y=253.7 [CJK-西文] '.'→'掌' 10.46pt/3.691mm (限5.23)
  p1 y=270.6 [CJK-西文] '.'→'掌' 10.46pt/3.691mm (限5.23)
  p1 y=321.0 [CJK-西文] '◆'→'知' 6.8pt/2.4mm (限4.28)
  p1 y=321.0 [CJK-CJK] '一'→'空' 11.99pt/4.228mm (限5.99)
  p1 y=341.8 [CJK-西文] '.'→'定' 8.47pt/2.987mm (限5.03)
  p1 y=559.8 [CJK-西文] '.'→'几' 8.47pt/2.987mm (限5.03)
  p1 y=612.0 [CJK-西文] '．'→'(' 193.22pt/68.163mm (限5.03)
  p1 y=665.8 [CJK-西文] '．'→'(' 68.83pt/24.281mm (限5.03)
  p1 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p1 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
  p2 y=55.3 [CJK-西文] '◆'→'知' 6.8pt/2.4mm (限4.28)
  p2 y=55.3 [CJK-CJK] '二'→'空' 11.99pt/4.228mm (限5.99)
  p2 y=55.3 [CJK-西文] '◆'→'知' 6.8pt/2.4mm (限4.28)
  p2 y=55.3 [CJK-CJK] '三'→'空' 11.99pt/4.228mm (限5.99)
  p2 y=76.9 [CJK-西文] '.'→'加' 8.47pt/2.987mm (限5.03)
  p2 y=94.8 [CJK-西文] '.'→'夹' 8.47pt/2.987mm (限5.03)
  p2 y=202.6 [CJK-西文] '.'→'共' 8.47pt/2.987mm (限5.03)
  p2 y=202.6 [CJK-CJK] '：'→'对' 5.24pt/1.848mm (限5.03)
  p2 y=221.3 [CJK-西文] '.'→'数' 8.47pt/2.987mm (限5.03)
  p2 y=329.9 [CJK-西文] '.'→'投' 8.47pt/2.987mm (限5.03)
  p2 y=545.0 [CJK-西文] '．'→'(' 84.91pt/29.956mm (限5.03)
  p2 y=598.8 [CJK-西文] '．'→'(' 13.58pt/4.79mm (限5.03)
  p2 y=614.9 [CJK-西文] '.'→'共' 8.47pt/2.987mm (限5.03)
  p2 y=616.7 [CJK-西文] ']'→'缺' 5.03pt/1.773mm (限5.03)
  p2 y=799.6 [CJK-CJK] '学'→'选' 5.22pt/1.842mm (限2.61)
  p3 y=55.3 [CJK-西文] ']'→'下' 6.24pt/2.2mm (限5.23)
  p3 y=272.9 [CJK-西文] '．'→'(' 7.74pt/2.73mm (限5.03)
  p3 y=322.0 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p3 y=322.0 [CJK-CJK] '二'→'空' 23.97pt/8.456mm (限5.99)
  p3 y=344.6 [CJK-西文] '．'→'(' 126.87pt/44.757mm (限5.03)
  p3 y=345.9 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p3 y=362.6 [CJK-西文] ']'→'数' 5.03pt/1.773mm (限5.03)
  p3 y=447.9 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p3 y=447.9 [CJK-CJK] '一'→'空' 23.97pt/8.456mm (限5.99)
  p3 y=471.9 [CJK-西文] ']'→'下' 6.24pt/2.2mm (限5.23)
  p3 y=602.9 [CJK-CJK] '简'→'单' 5.9pt/2.081mm (限5.23)
  p3 y=602.9 [CJK-西文] '单'→'(' 6.67pt/2.355mm (限5.23)
  p3 y=602.9 [CJK-CJK] '知'→'识' 5.9pt/2.081mm (限5.23)
  p3 y=602.9 [CJK-CJK] '识'→'点' 5.91pt/2.085mm (限5.23)
  p3 y=602.9 [CJK-CJK] '点'→'二' 5.91pt/2.085mm (限5.23)
  p3 y=602.9 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p3 y=602.9 [CJK-CJK] '在'→'平' 5.67pt/2.0mm (限5.03)
  p3 y=602.9 [CJK-CJK] '平'→'行' 5.68pt/2.004mm (限5.03)
  p3 y=602.9 [CJK-CJK] '行'→'六' 5.68pt/2.004mm (限5.03)
  p3 y=602.9 [CJK-CJK] '六'→'面' 5.68pt/2.004mm (限5.03)
  p3 y=602.9 [CJK-CJK] '面'→'体' 5.67pt/2.0mm (限5.03)
  p3 y=623.4 [CJK-西文] '1'→'中' 5.11pt/1.804mm (限3.52)
  p3 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p3 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
  p4 y=55.3 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p4 y=55.3 [CJK-CJK] '四'→'共' 23.97pt/8.456mm (限5.99)
  p4 y=79.2 [CJK-西文] ']'→'有' 6.24pt/2.2mm (限5.23)
  p4 y=171.1 [CJK-西文] '；'→'B' 39.32pt/13.872mm (限5.23)
  p4 y=183.5 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p4 y=183.5 [CJK-CJK] '三'→'用' 23.97pt/8.456mm (限5.99)
  p4 y=190.0 [CJK-西文] '；'→'D' 62.92pt/22.198mm (限5.23)
  p4 y=298.4 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p4 y=335.8 [CJK-西文] ']'→'共' 5.03pt/1.773mm (限5.03)
  p4 y=392.3 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p4 y=410.6 [CJK-西文] '1'→'中' 3.66pt/1.292mm (限3.52)
  p4 y=410.6 [CJK-西文] '1'→'上' 3.66pt/1.292mm (限3.52)
  p4 y=561.1 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p4 y=561.1 [CJK-CJK] '五'→'数' 23.97pt/8.456mm (限5.99)
  p4 y=585.0 [CJK-西文] ']'→'设' 6.24pt/2.2mm (限5.23)
  p4 y=799.6 [CJK-CJK] '学'→'选' 5.22pt/1.842mm (限2.61)
  p5 y=55.3 [CJK-西文] '档'→'(' 5.39pt/1.903mm (限5.23)
  p5 y=55.3 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p5 y=74.8 [CJK-西文] '1'→'中' 3.67pt/1.296mm (限3.52)
  p5 y=165.8 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p5 y=318.0 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p5 y=318.0 [CJK-CJK] '七'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=341.9 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p5 y=374.6 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
