========================================================================================================
v10 包 21 页逐页证据（卷四·1 检查单机器项；⑥缩进＝_缩进复测.py 另册留档）
========================================================================================================
p 1   210×297 ①注记题源待补,待源,待补 ②品牌全品,学练考 ③题源0/高考域5 ④真压字0（白底0/页码块0/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行0 ⑥另册  ｜v9→v10 gk:0→5；①['内部口径']→['题源待补', '待源', '待补']；②['全品']→['全品', '学练考']
p 2   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底4/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸19(峰7.00) 断孤行4().接,或,量,量) ⑥另册  ｜v9→v10 全同
p 3   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图1/压字0/越栏0 ⑤拉伸2(峰12.34) 断孤行2()一致,共面) ⑥另册  ｜v9→v10 全同
p 4   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底4/页码块1/墨盒0） ④b图1/压字0/越栏0 ⑤拉伸28(峰10.67) 断孤行3((是),(是),.间段) ⑥另册  ｜v9→v10 全同
p 5   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图2/压字0/越栏0 ⑤拉伸18(峰10.97) 断孤行2(.取角,.型) ⑥另册  ｜v9→v10 全同
p 6   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底4/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行0 ⑥另册  ｜v9→v10 全同
p 7   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸8(峰15.79) 断孤行3(.否定,×.故,模相等) ⑥另册  ｜v9→v10 j4:0→8；j4max:0.0→15.79；断['.型', '.定', '模相等']→['.否定', '×.故', '模相等']
p 8   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图1/压字0/越栏0 ⑤拉伸1(峰7.41) 断孤行2(①对；,错误；) ⑥另册  ｜v9→v10 j4:0→1；j4max:0.0→7.41；断['.间段', '.题型', '正确；', '错误；']→['①对；', '错误；']
p 9   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸2(峰20.17) 断孤行5(.即可,.型,.用,.答案,与1) ⑥另册  ｜v9→v10 j4max:8.43→20.17；断['.取角', '.题型', '与1', '与1']→['.即可', '.型', '.用', '.答案', '与1']
p10   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图1/压字0/越栏0 ⑤拉伸1(峰10.51) 断孤行1(D.选) ⑥另册  ｜v9→v10 j4:4→1；j4max:13.36→10.51；断[]→['D.选']
p11   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸8(峰13.31) 断孤行0 ⑥另册  ｜v9→v10 全同
