====================================================================================
[v9册v1(包p7-10)] C:\提示词\工作区\字替对照-0909\靠齐样张-0910\靠齐样张包-v9-21页0911.pdf  页表=[7, 8, 9, 10]
====================================================================================
  页  栏    基线mm   Δ左mm   Δ右mm    档  行首
  7  L   24.58   7.01  -0.06   其他  参考答案
  7  L   35.40  11.59  -0.06   其他  第一章空间向量与立体几何
  7  L   53.56  35.12   0.11   其他  1.1.1空间向量及其运算(导学件答案)
  7  L   63.29   0.24   0.19   顶格  一、课前预习：知识点填空与判断答案——序与导
  7  L   69.61   0.16  73.01   顶格  学件同
  7  L   78.05   0.16   0.11   顶格  知识点一　空间向量的概念：填空11 空／判断
  7  L   84.37   0.07  53.87   顶格  ——序与导学件同
  7  L   91.40   0.32   4.68   顶格  [答案] 1．大小　2．方向　3．长度　4．
  7  L   97.73   0.24   0.02   顶格  6．0 　7．1 　8．相反　9．互相平行　
  7  L  104.05   0.16  72.84   顶格  模相等
  7  L  110.38   0.24  66.49   顶格  (1)× 　(2)√
  7  L  116.71   0.32   0.11   顶格  [解析] (1) 模相等方向未必相同，还可能
  7  L  123.03   0.16  42.19   顶格  交，两向量未必相等，故×.
  7  L  129.36   0.24   0.11   顶格  (2) 相等向量方向相同，所在直线平行或重合
  7  L  135.69   0.16  32.79   顶格  共线向量(平行向量) 定义，故√.
  7  L  143.42   0.16   0.11   顶格  知识点二　空间向量的线性运算：填空5 空／判
  7  L  149.74   0.16  47.35   顶格  2 题——序与导学件同
  7  L  156.77   0.32   0.19   顶格  [答案] 1．三角形　2．平行四边形　3．相
  7  L  163.10   0.24  64.46   顶格  反　5．实数
  7  L  169.43   0.24  66.74   顶格  (1)× 　(2)×
  7  L  175.75   0.32   0.19   顶格  [解析] (1) 平行传递需⃗⃗⃗⃗⃗𝑏≠⃗
  7  L  182.08   0.49  38.29   顶格  向量平行，传递性失效，故×.
  7  L  188.40   0.24  14.42   顶格  (2) 缺⃗⃗⃗⃗⃗𝑏≠⃗⃗⃗⃗⃗0 前提；
  7  L  196.14   0.16   0.11   顶格  知识点三　空间向量的夹角、数量积与共面：填空
  7  L  202.46   0.24  31.18   顶格  空／判断2 题——序与导学件同
  7  L  209.49   0.32   0.28   顶格  [答案] 1．[0°,180°] 　2．互相
  7  L  215.82   0.24  68.86   顶格  序实数对
  7  L  222.14   0.24  66.83   顶格  (1)√　(2)×
  7  L  228.47   0.32   0.28   顶格  [解析] (1)⃗⃗⃗⃗⃗𝑝是⃗⃗⃗⃗⃗𝑎、
  7  L  234.80   0.24  55.74   顶格  三向量共面，故√.
  7  L  241.12   0.24  -0.06   顶格  (2) 数量积大于0 仅保证cos 𝜃> 0
  7  L  247.45   0.32  12.22   顶格  𝜃= 0∘(同向) 时数量积也为正而非锐角，
  7  L  255.18   0.24   0.28   顶格  二、课中探究：九探究点× 例1 ／变式1——
  7  L  261.51   0.24  65.05   顶格  导学件同号
  7  L  269.94   0.24   6.97   顶格  探究点一　空间向量的概念辨析：例1 ／变式1
  7  R   63.29   0.24  58.02   顶格  例1[答案] B
  7  R   69.61   0.16  39.82   顶格  题型：空间向量的概念辨析
  7  R   75.94   0.32   0.45   顶格  [分析] 根据零向量、单位向量、向量的模、相
  7  R   82.26   0.16  11.71   顶格  量、相反向量等概念逐一分析即可得出答案.
  7  R   88.59   0.32   0.28   顶格  [详解] 解：若|⃗⃗⃗⃗⃗𝑎| = |⃗⃗
  7  R   94.92   0.49   0.19   顶格  向量，方向相反时是相反向量，还有可能方向既不
  7  R  101.24   0.16  49.22   顶格  相同，也不相反，A 错；
  7  R  107.57   0.16   7.81   顶格  若⃗⃗⃗⃗⃗𝑎,⃗⃗⃗⃗⃗𝑏为相反向量，则它
  7  R  113.90   0.16  35.58   顶格  零向量的方向是任意的，C 错；
  7  R  120.22   0.24   0.28   顶格  两个单位向量只是模都为1，方向不一定相同，D
  7  R  126.55   0.16  71.82   顶格  故选：B.
  7  R  134.28   0.32  57.77   顶格  变式1 [答案] D
  7  R  140.61   0.16  39.82   顶格  题型：空间向量的概念辨析
  7  R  146.93   0.32   0.19   顶格  [解析] A 规定成立；B 模为0 即零向量
  7  R  153.26   0.16  17.13   顶格  模；D 平行不需等模(反例⃗⃗⃗⃗⃗𝑎= 2
  7  R  160.64   0.32  30.00   顶格  [题型总结] 空间向量的概念辨析
  7  R  166.97   0.24   0.28   顶格  识别信号：题干围绕模、方向、零向量、单位向量
  7  R  173.29   0.32   0.28   顶格  等向量与相反向量罗列说法要求辨误时，判归本题
  7  R  179.62   0.41  79.87   顶格  型.
