[183] 12．如图所示，两条完全相同的圆弧形材料AOB和COD，圆弧对应的圆心角都为120°，圆弧AOB在竖直平面内，圆弧COD在水平面内，以O点为坐标原点、水平向右为x轴正方向，两弧形材料均匀分布正电荷，P点为两段圆弧的圆心，已知P点处的电场强度为⟦E_(0)⟧、电势为⟦φ_(0)⟧，设圆弧AO在圆心P处产生的电场强度大小为E，产生的电势为φ，选无穷远的电势为零，以下说法正确的是（　　）
[184] 【图】
[185] A．⟦E=(√(3))/(3)E_(0)⟧，⟦φ=(1)/(4)φ_(0)⟧
[186] B．⟦E=(√(3))/(6)E_(0)⟧，⟦φ=(3)/(4)√((φ_(0)e)/(2m))⟧
[187] C．将质子（比荷⟦(e)/(m)⟧）从P点无初速释放，则质子的最大速度为⟦√((φ_(0)e)/(2m))⟧
[188] D．若两段弧形材料带上的是等量异种电荷，x轴上各点电场强度为零，电势为零
[189] 【答案】D
[190] 【难度】0.65
[191] 【知识点】电场强度的叠加法则、电场力做功和电势能变化的关系、带电体周围的电势分布
[192] 【详解】AB．圆弧AO在圆心P点产生的场强大小与圆弧OB在P点产生的场强大小相等，两个场强方向夹角为60°，电势相等，同理圆弧OC在圆心P点产生的场强大小与圆弧OD在P点产生的场强大小相等，且夹角也为60°，电势相等，根据电场强度矢量叠加法则有
[193] ⟦4Ecos30^(o)=E_(0)⟧
[194] 计算解得
[195] ⟦E=(√(3))/(6)E_(0)⟧
[196] 根据电势标量的叠加法则有
[197] ⟦φ=4φ_(0)⟧
[198] 得
[199] ⟦φ=(φ_(0))/(4)⟧
[200] 故AB错误；
[201] C．从P点无初速释放质子，到达无穷远处时速度最大，根据动能定理有
[202] ⟦eφ_(0)=(1)/(2)mv^(2)⟧
[203] 得
[204] ⟦v=√((2φ_(0)e)/(m))⟧
[205] 故C错误；
[206] D．若两段弧形材料带上的是等量异种电荷，正电荷和负电荷在x轴上各点产生电场强度大小相等，方向相反，其合场强为零，正、负电荷产生电势数值相等，电势叠加结果为零，故D正确。
[207] 故选D。
