[690] 1.2.2.6.1 多面体截面问题（补全截面）
[691] 2题：-6～7
[692] 【⁠编⁠注⁠】题型通式：题干过几何体上若干点作截面、研究截面形状、周长或参数范围时，判归本题型。第一步用"同面两点连截线、棱面交点定截点、线面平行定方向"逐步补全截面；再由截面形状及四边形变五边形的临界位置分析题目所问；最后计算周长、取值范围或逐项判定说法。
[693] 1.2.2.6.1-6．（中档）如图，四棱柱⟦ABCD-A_(1)B_(1)C_(1)D_(1)⟧的底面是边长为2的正方形，侧棱⟦AA_(1)⊥⟧平面ABCD，且⟦AA_(1)=4⟧，E、F分别是AB、BC的中点，P是线段⟦DD_(1)⟧上的一个动点（不含端点），过P、E、F的平面记为⟦α⟧，Q在⟦CC_(1)⟧上且⟦CQ=1⟧，则下列说法正确的个数是（    ）．
[694] 【图】
[695] 【图】
[696] ①三棱锥⟦C_(1)-PAC⟧的体积是定值；
[697] 【图】
[698] ②当直线⟦BQ∥α⟧时，⟦DP=2⟧；③当⟦DP=3⟧时，平面⟦α⟧截棱柱所得多边形的周长为⟦7√(2)⟧；④存在平面⟦α⟧，使得点⟦A_(1)⟧到平面⟦α⟧距离是A到平面⟦α⟧距离的两倍．
[699] 			A．1；B．2；C．3；D．4
[700] 【⁠答⁠案⁠】
[701]  B
[702] 【⁠分⁠析⁠】
[703] 对于①：换底即可⟦C_(1)-PAC⟧体积=⟦A-C_(1)PC⟧体积，①正确
[704] 对于②：先作出两平面的交线，利用线面平行得到面面平行，再利用全等三角形进行求解；②错误
[705] 对于③：利用②结论判定截面的形状，进而求其周长；③正确
[706] 对于④：利用相似比得到⟦距离倍数就是A_(1)R与AR的比值⟧，判定④错误.
[707] 【⁠知⁠识⁠点⁠】
[708] 1.2.2 由平面的基本性质作截面图形、证明线面平行、线面平行的性质
[709] 【⁠详⁠解⁠】对于①:∵⟦DD_(1)∥CC_(1)⟧，⟦DD_(1)⊄⟧平面⟦CAC_(1)⟧，
[710] ⟦CC_(1)⊂⟧平面⟦CAC_(1)⟧，∴⟦DD_(1)∥⟧平面⟦CAC_(1)⟧，
[711] ∵⟦P∈DD_(1)⟧，∴点P到平面⟦CAC_(1)⟧的距离为定值，
[712] 而⟦△CAC_(1)⟧的面积为定值，∴三棱锥⟦P-C_(1)AC⟧的体积是定值，
[713] 即三棱锥⟦C_(1)-PAC⟧的体积是定值，∴①正确；
[714] 对于②：如图，延长EF交DC的延长线于点M，
[715] 设平面⟦α⟧交棱⟦CC_(1)⟧于点W，连接MW，并延长MW交⟦DD_(1)⟧于点P，
[716] ∵⟦BQ∥α⟧，⟦BQ⊂⟧平面⟦BB_(1)C_(1)C⟧，平面⟦α∩⟧平面⟦BB_(1)C_(1)C=FW⟧，
[717] ∴⟦FW∥BQ⟧，
[718] ∵F为BC的中点，则W为CQ的中点，
[719] ∵⟦BE∥CM⟧，则⟦∠EBF=∠MCF⟧，⟦∠EFB=∠MFC⟧，⟦BF=CF⟧，
[720] ∴⟦△BEF⟧≌⟦△CMF⟧，则⟦MC=BE=1⟧，
[721] ∵⟦CW∥DP⟧，则⟦(DP)/(CW)=(DM)/(CM)=3⟧，则⟦DP=3CW=(3)/(2)⟧，即②错误
[722] 对于③：如图，设直线EF分别交直线DA、DC于点N、M，
[723] 连接PN、PM，分别交⟦AA_(1)⟧、⟦CC_(1)⟧于点R、S，连接RE、SF，
[724] 由②可知，⟦CM=1⟧，同理可知⟦AN=1⟧，
