序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	106	(空段)	1	inline	8.60	4.27	1094	544	18.52	sub3_B_1.png	0	0	0	0
2	114	(空段)	1	inline	7.69	6.46	810	686	13.71	sub3_B_2.png	0	0	0	0
3	138	(空段)	1	inline	8.60	2.94	1359	468	23.01	sub3_B_3.png	0	0	0	0
4	154	(空段)	1	inline	8.60	2.28	1408	374	23.84	sub3_B_4.png	0	0	0	0
5	177	(空段)	1	inline	5.61	9.00	839	1345	14.21	image1.png	0	0	0	0
6	182	(空段)	1	inline	7.86	7.86	764	764	12.94	image2.png	0	0	0	0
7	209	(空段)	1	inline	8.60	8.20	521	496	8.82	image3.png	0	0	0	0
8	231	(空段)	1	inline	6.63	3.58	788	424	13.34	image4.png	0	0	0	0
9	243	【详解】  过点，分别向作垂线，垂足分别	1	inline	8.60	6.42	1798	1350	30.44	image5.png	0	0	0	0
10	297	(空段)	1	inline	8.60	7.78	1114	1010	18.86	image6.png	0	0	0	0
11	305	(空段)	1	inline	8.60	7.78	1114	1010	18.86	image7.png	0	0	0	0
12	307	(空段)	1	inline	8.60	7.78	1114	1010	18.86	image7.png	0	0	0	0
13	311	(空段)	1	inline	4.35	3.50	257	207	4.35	image8.png	0	0	0	1
14	331	(空段)	1	inline	8.60	8.16	926	882	15.68	sub3_B_5.png	0	0	0	0
15	337	(空段)	1	inline	5.57	5.31	737	706	12.48	sub3_B_6.png	0	0	0	0
16	355	(空段)	1	inline	6.11	6.26	874	896	14.80	image9.png	0	0	0	0
17	365	(空段)	1	inline	4.66	5.86	275	346	4.66	image10.png	0	0	0	1
18	406	(空段)	1	inline	6.32	6.21	1262	1246	21.37	image11.png	0	0	0	0
19	428	(空段)	1	inline	8.60	6.67	1176	916	19.91	image12.png	0	0	0	0
20	456	(空段)	1	inline	8.19	3.32	1127	464	19.08	sub3_B_7.png	0	0	0	0
21	460	(空段)	1	inline	7.97	4.34	471	257	7.97	sub3_B_8.png	0	0	0	0
22	465	(空段)	1	inline	5.72	6.18	911	992	15.42	sub3_B_9.png	0	0	0	0
23	489	(空段)	1	inline	3.95	3.20	233	189	3.95	image13.png	0	0	0	1
24	500	(空段)	1	inline	5.58	5.08	994	908	16.83	image14.png	0	0	0	0
25	506	(空段)	1	inline	8.60	8.82	1053	1085	17.83	image15.png	0	0	0	0
26	519	(空段)	1	inline	8.24	9.00	1918	2101	32.48	image16.png	0	0	0	0
27	525	(空段)	1	inline	5.06	5.77	299	341	5.06	image17.png	0	0	0	0
28	530	(空段)	1	inline	8.60	8.68	675	681	11.43	image18.png	0	0	0	0
29	531	1.2.1.6-8．（中档·保80%·卡	2	inline	1.46	0.45	55	17	0.93	image19.png	0	0	1	1
30	531	1.2.1.6-8．（中档·保80%·卡	2	inline	0.98	0.50	37	19	0.63	image20.png	0	0	1	1
31	532	(空段)	1	inline	8.60	8.89	627	648	10.62	image22.png	0	0	0	0
32	535	【详解】试题分析：连接，因为底面，所以,	17	inline	0.74	0.50	28	19	0.47	image23.png	0	0	1	1
33	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.03	0.45	39	17	0.66	image24.png	0	0	1	1
34	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.27	0.50	48	19	0.81	image25.png	0	0	1	1
35	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.72	0.45	65	17	1.10	image26.png	0	0	1	1
36	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.27	0.50	48	19	0.81	image25.png	0	0	1	1
37	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.80	0.50	68	19	1.15	image27.png	0	0	1	1
38	535	【详解】试题分析：连接，因为底面，所以,	17	inline	2.35	0.53	89	20	1.51	image28.png	0	0	1	1
39	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.08	0.45	41	17	0.69	image29.png	0	0	1	1
40	535	【详解】试题分析：连接，因为底面，所以,	17	inline	0.98	0.50	37	19	0.63	image30.png	0	0	1	1
41	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.77	0.50	67	19	1.13	image31.png	0	0	1	1
42	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.46	0.45	55	17	0.93	image19.png	0	0	1	1
43	535	【详解】试题分析：连接，因为底面，所以,	17	inline	0.98	0.50	37	19	0.63	image20.png	0	0	1	1
44	535	【详解】试题分析：连接，因为底面，所以,	17	inline	0.71	0.50	27	19	0.46	image32.png	0	0	1	1
45	535	【详解】试题分析：连接，因为底面，所以,	17	inline	1.06	0.45	40	17	0.68	image33.png	0	0	1	1
46	535	【详解】试题分析：连接，因为底面，所以,	17	inline	0.71	0.45	27	17	0.46	image34.png	0	0	1	1
47	535	【详解】试题分析：连接，因为底面，所以,	17	inline	4.37	0.61	165	23	2.79	image35.png	0	0	1	1
48	535	【详解】试题分析：连接，因为底面，所以,	17	inline	4.37	0.61	165	23	2.79	image35.png	0	0	1	1
49	536	(空段)	1	inline	8.60	8.89	627	648	10.62	image36.png	0	0	0	0
50	542	(空段)	1	inline	7.17	9.00	842	1060	14.26	image37.png	0	0	0	0
51	550	(空段)	1	inline	8.60	6.71	1186	930	20.08	image38.png	0	0	0	0
52	555	，即以C为球心，为半径的球刚好过A点是球	1	inline	8.60	8.22	1108	1064	18.76	image39.png	0	0	0	0
53	566	(空段)	1	inline	8.60	4.60	1284	687	21.74	sub3_B_10.png	0	0	0	0
54	631	(空段)	1	inline	8.55	7.56	877	780	14.85	image40.png	0	0	0	0
55	637	(空段)	1	inline	8.60	7.76	1025	926	17.36	image41.png	0	0	0	0
56	646	(空段)	1	inline	4.40	3.20	260	189	4.40	image42.png	0	0	0	1
57	653	(空段)	1	inline	6.60	4.34	390	257	6.60	image43.png	0	0	0	0
58	661	(空段)	1	inline	8.60	5.63	1480	971	25.06	image46.png	0	0	0	0
59	670	(空段)	1	inline	8.60	5.54	1711	1108	28.97	image47.png	0	0	0	0
60	686	(空段)	1	inline	4.74	6.42	280	380	4.74	image50.png	0	0	0	1
61	687	(空段)	1	inline	5.93	6.36	350	376	5.93	image48.png	0	0	0	0
62	689	(空段)	1	inline	5.76	6.00	340	355	5.76	image49.png	0	0	0	0
63	723	(空段)	1	inline	4.03	3.69	191	175	3.23	image51.png	0	0	1	1
64	724	(空段)	1	inline	5.67	5.65	335	329	5.67	image52.png	0	0	0	0
65	744	(空段)	1	inline	4.39	3.62	181	149	3.06	image53.png	0	0	1	1
66	751	(空段)	1	inline	4.39	3.62	181	149	3.06	sub3_B_11.png	0	0	1	1
67	758	(空段)	1	inline	3.69	2.89	218	170	3.69	image55.png	0	0	0	1
68	763	(空段)	1	inline	8.60	7.91	902	842	15.27	image57.png	0	0	0	0
69	770	(空段)	1	inline	7.93	9.00	902	1039	15.27	image58.png	0	0	0	0
70	774	(空段)	1	inline	7.93	9.00	902	1039	15.27	image58.png	0	0	0	0
71	777	(空段)	1	inline	8.60	6.50	1037	794	17.56	image59.png	0	0	0	0
72	781	(空段)	1	inline	5.57	4.01	329	237	5.57	image60.png	0	0	0	0
73	785	(空段)	1	inline	5.27	3.80	311	224	5.27	image61.png	0	0	0	0
74	796	(空段)	1	inline	8.60	3.13	647	235	10.95	image62.png	0	0	0	0
75	797	(空段)	1	inline	8.60	2.53	669	197	11.33	image63.png	0	0	0	0
76	807	(空段)	1	inline	5.93	3.15	350	186	5.93	image64.png	0	0	0	0
77	824	(空段)	1	inline	8.60	2.59	2316	696	39.21	image65.png	0	0	0	0
78	833	(空段)	1	inline	4.99	3.96	295	234	4.99	image66.png	0	0	0	1
79	834	(空段)	1	inline	8.60	3.14	2948	1077	49.92	image68.png	0	0	0	0
80	842	(空段)	1	inline	8.60	5.67	1888	1249	31.97	image69.png	0	0	0	0
81	846	(空段)	1	inline	6.73	6.46	999	961	16.92	image70.png	0	0	0	0
82	856	(空段)	1	inline	8.60	8.35	1167	1138	19.76	image71.png	0	0	0	0
83	860	(空段)	1	inline	8.60	8.13	1129	1073	19.12	image72.png	0	0	0	0
84	865	(空段)	1	inline	7.24	9.00	1129	1404	19.12	image73.png	0	0	0	0
85	879	(空段)	1	inline	7.62	6.07	1131	904	19.15	sub3_B_12.png	0	0	0	0
86	883	(空段)	1	inline	7.82	4.75	462	283	7.82	sub3_B_13.png	0	0	0	0
87	886	(空段)	1	inline	8.60	7.54	1334	1175	22.59	sub3_B_14.png	0	0	0	0
88	909	(空段)	1	inline	8.60	4.33	592	298	10.02	sub3_B_15.png	0	0	0	0
89	917	(空段)	1	inline	8.60	8.08	611	1089	10.35	sub3_B_16.jpg	0	0	0	0
90	924	(空段)	1	inline	5.08	9.00	467	828	7.91	sub3_B_17.jpg	0	0	0	0
91	930	(空段)	4	inline	8.45	7.13	499	421	8.45	image76.png	0	0	0	0
92	930	(空段)	4	inline	8.25	6.42	487	424	8.25	image77.png	0	0	0	0
93	930	(空段)	4	inline	7.35	7.27	434	378	7.35	image78.png	0	0	0	0
