序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	31	(空段)	2	inline	7.77	2.14	459	127	7.77	sub3_C_1.png	0	0	0	0
2	31	(空段)	2	inline	2.17	2.67	117	144	1.98	sub3_C_2.png	0	0	1	1
3	68	（2）公式法：底面圆半径为，圆锥的高为，	1	inline	0.29	0.29	24	27	0.41	sub3_C_3.png	0	0	0	1
4	69	(空段)	1	inline	8.60	2.91	1892	641	32.04	sub3_C_4.png	0	0	0	0
5	78	(空段)	1	inline	8.60	2.93	1211	412	20.50	sub3_C_5.png	0	0	0	0
6	81	(空段)	1	inline	8.60	2.57	1895	564	32.09	sub3_C_6.png	0	0	0	0
7	85	(空段)	1	inline	4.60	4.29	181	168	3.06	sub3_C_7.png	0	0	1	1
8	96	(空段)	1	inline	4.47	5.01	809	919	13.70	image127.png	0	0	0	1
9	102	(空段)	1	inline	7.90	9.00	873	1012	14.78	image128.png	0	0	0	0
10	110	(空段)	1	inline	8.60	5.30	1306	806	22.11	image151.png	0	0	0	0
11	124	(空段)	1	inline	3.07	4.55	122	181	2.07	image321.png	0	0	1	1
12	126	(空段)	1	inline	2.38	3.33	112	157	1.90	image322.png	0	0	1	1
13	128	(空段)	1	inline	2.91	3.31	168	191	2.84	image323.png	0	0	1	1
14	130	(空段)	1	inline	3.81	2.78	192	141	3.25	image324.png	0	0	1	1
15	131	(空段)	1	inline	3.49	3.70	168	178	2.84	image325.png	0	0	1	1
16	133	墙角模型是三棱锥有一条侧棱垂直于底面且底	2	inline	1.96	0.50	169	43	2.86	image138.png	0	0	0	1
17	133	墙角模型是三棱锥有一条侧棱垂直于底面且底	2	inline	1.67	0.77	145	67	2.46	image139.png	0	0	0	1
18	134	(空段)	4	inline	5.59	5.47	330	323	5.59	image140.png	0	0	0	0
19	134	(空段)	4	inline	5.50	5.46	325	323	5.50	image141.png	0	0	0	0
20	134	(空段)	4	inline	5.57	5.57	329	329	5.57	image142.png	0	0	0	0
21	134	(空段)	4	inline	5.57	5.57	329	329	5.57	image143.png	0	0	0	0
22	135	(空段)	2	inline	4.86	3.92	287	231	4.86	image144.png	0	0	0	1
23	135	(空段)	2	inline	4.86	3.92	287	231	4.86	image145.png	0	0	0	1
24	136	(空段)	2	inline	4.86	3.92	287	231	4.86	image146.png	0	0	0	1
25	136	(空段)	2	inline	4.86	3.92	287	231	4.86	image147.png	0	0	0	1
26	137	(空段)	1	inline	8.60	3.40	1790	710	30.31	image149.png	0	0	0	0
27	147	(空段)	1	inline	7.25	5.05	431	300	7.30	image152.png	0	0	0	0
28	155	(空段)	1	inline	4.47	4.63	264	273	4.47	image159.png	0	0	0	1
29	167	(空段)	1	inline	5.98	4.80	371	298	6.28	image160.png	0	0	0	0
30	192	(空段)	1	inline	5.22	4.94	308	291	5.22	image162.png	0	0	0	0
31	208	(空段)	1	inline	3.76	3.60	142	136	2.40	image163.png	0	0	1	1
32	222	(空段)	1	inline	6.26	5.96	370	352	6.26	image164.png	0	0	0	0
33	244	(空段)	1	inline	8.60	7.25	1485	1258	25.14	image165.png	0	0	0	0
34	253	(空段)	1	inline	3.95	6.18	233	364	3.95	image155.png	0	0	0	1
35	254	(空段)	1	inline	8.60	2.69	1961	615	33.20	image154.png	0	0	0	0
36	255	(空段)	1	inline	8.60	3.31	1840	707	31.15	image157.png	0	0	0	0
37	262	(空段)	1	inline	6.23	5.57	368	329	6.23	image166.png	0	0	0	0
38	265	(空段)	1	inline	4.00	3.79	236	224	4.00	image167.png	0	0	0	1
39	278	类型Ⅳ，△ABC与△BCD都一般三角形，	2	inline	4.33	1.51	256	89	4.33	image169.png	0	0	0	1
40	278	类型Ⅳ，△ABC与△BCD都一般三角形，	2	inline	0.24	0.74	21	65	0.36	image170.png	0	0	0	1
41	279	(空段)	2	inline	4.44	4.05	262	240	4.44	image171.png	0	0	0	1
42	279	(空段)	2	inline	4.44	4.20	262	246	4.44	image172.png	0	0	0	1
43	280	(空段)	2	inline	4.35	4.14	257	246	4.35	image173.png	0	0	0	1
44	280	(空段)	2	inline	5.66	5.51	334	324	5.66	image174.png	0	0	0	0
45	281	(空段)	1	inline	8.60	2.56	1895	564	32.09	image176.png	0	0	0	0
46	288	(空段)	1	inline	5.61	6.09	486	527	8.23	image177.png	0	0	0	0
47	298	(空段)	1	inline	8.60	3.09	1881	676	31.85	image185.png	0	0	0	0
48	304	(空段)	1	inline	8.60	8.86	873	902	14.78	image186.png	0	0	0	0
49	312	(空段)	1	inline	6.36	9.00	390	551	6.60	image187.png	0	0	0	0
50	321	(空段)	1	inline	8.60	5.37	1932	1207	32.71	image188.png	0	0	0	0
51	333	(空段)	1	inline	8.60	4.28	839	417	14.21	image198.png	0	0	0	0
52	342	(空段)	1	inline	8.18	4.61	483	272	8.18	image199.png	0	0	0	0
53	347	(空段)	1	inline	8.60	4.83	569	319	9.63	image200.png	0	0	0	0
54	352	(空段)	1	inline	6.77	6.50	512	491	8.67	image201.png	0	0	0	0
55	359	(空段)	2	inline	6.75	5.58	1330	1106	22.52	image202.png	0	0	0	0
56	359	(空段)	2	inline	8.50	8.70	991	1015	16.78	image203.png	0	0	0	0
57	369	(空段)	1	inline	5.50	5.36	342	332	5.79	image204.png	0	0	0	0
58	370	(空段)	1	inline	5.50	5.36	342	332	5.79	image204.png	0	0	0	0
59	375	(空段)	1	inline	6.82	6.55	403	388	6.82	image205.png	0	0	0	0
