序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	148	(空段)	1	inline	5.27	5.20	808	800	13.68	image41.png	0	0	0	0
2	151	(空段)	1	inline	5.67	5.01	335	296	5.67	image1.png	0	0	0	0
3	158	(空段)	1	inline	5.59	5.33	330	315	5.59	image2.png	0	0	0	0
4	172	(空段)	1	inline	8.60	8.53	1514	1507	25.63	image3.png	0	0	0	0
5	198	(空段)	1	inline	3.04	2.38	108	85	1.83	sub3_E_1.png	0	0	1	1
6	213	(空段)	1	inline	2.43	2.25	93	86	1.57	sub3_E_2.png	0	0	1	1
7	225	(空段)	1	inline	1.69	1.46	80	68	1.35	sub3_E_3.png	0	0	1	1
8	237	(空段)	1	inline	2.04	2.04	97	96	1.64	sub3_E_4.png	0	0	1	1
9	260	(空段)	1	inline	8.60	1.66	860	166	14.56	sub3_E_5.png	0	0	0	0
10	347	(空段)	1	inline	4.15	4.26	194	199	3.28	image222.png	0	0	1	1
11	360	(空段)	1	inline	8.60	7.15	2268	1889	38.40	image223.png	0	0	0	0
12	367	(空段)	1	inline	8.60	8.22	2410	2305	40.81	image224.png	0	0	0	0
13	380	(空段)	1	inline	4.55	4.17	730	673	12.36	sub3_E_6.png	0	0	0	1
14	381	(空段)	1	inline	4.50	4.12	730	673	12.36	sub3_E_7.png	0	0	0	1
15	388	(空段)	1	inline	6.00	4.34	880	639	14.90	sub3_E_8.png	0	0	0	0
16	389	(空段)	1	inline	6.00	4.34	881	639	14.92	sub3_E_9.png	0	0	0	0
17	447	(空段)	1	inline	6.37	6.52	1424	1462	24.11	image48.png	0	0	0	0
18	458	(空段)	1	inline	8.60	2.65	4726	1462	80.02	image47.png	0	0	0	0
19	470	(空段)	1	inline	3.68	4.18	156	178	2.64	image4.png	0	0	1	1
20	481	(空段)	1	inline	8.60	3.57	2011	836	34.05	image5.png	0	0	0	0
21	520	(空段)	1	inline	5.63	5.23	1139	1060	19.29	image6.png	0	0	0	0
22	547	2.2.3.9-12．（中档·保80%·	1	inline	2.46	0.56	105	24	1.78	image226.png	0	0	1	1
23	548	(1)求直线与的夹角的余弦值；	2	inline	0.29	0.56	12	24	0.20	image227.png	0	0	1	1
24	548	(1)求直线与的夹角的余弦值；	2	inline	0.32	0.58	13	24	0.22	image228.png	0	0	1	1
25	554	【详解】(1)取直线和的方向向量分别为，	6	inline	2.46	0.56	105	24	1.78	image226.png	0	0	1	1
26	554	【详解】(1)取直线和的方向向量分别为，	6	inline	3.65	0.58	157	25	2.66	image229.png	0	0	1	1
27	554	【详解】(1)取直线和的方向向量分别为，	6	inline	0.29	0.56	12	24	0.20	image227.png	0	0	1	1
28	554	【详解】(1)取直线和的方向向量分别为，	6	inline	0.32	0.58	13	24	0.22	image228.png	0	0	1	1
29	554	【详解】(1)取直线和的方向向量分别为，	6	inline	0.32	0.42	13	19	0.22	image230.png	0	0	1	1
30	554	【详解】(1)取直线和的方向向量分别为，	6	inline	7.53	1.08	445	64	7.53	image231.png	0	0	0	0
31	555	(2)由解得，即	1	inline	2.22	1.11	96	48	1.63	image232.png	0	0	1	1
32	556	由题可知，直线l的斜率存在且小于0，设斜	3	inline	0.32	0.45	13	19	0.22	image233.png	0	0	1	1
33	556	由题可知，直线l的斜率存在且小于0，设斜	3	inline	0.87	0.45	37	19	0.63	image234.png	0	0	1	1
34	556	由题可知，直线l的斜率存在且小于0，设斜	3	inline	0.79	0.45	35	20	0.59	image235.png	0	0	1	1
35	557	则有，整理得，解得或所以直线l的方程为或	4	inline	3.25	0.95	140	41	2.37	image236.png	0	0	1	1
36	557	则有，整理得，解得或所以直线l的方程为或	4	inline	2.80	0.48	120	21	2.03	image237.png	0	0	1	1
37	557	则有，整理得，解得或所以直线l的方程为或	4	inline	1.06	0.45	45	19	0.76	image238.png	0	0	1	1
