序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	41	(空段)	1	inline	3.04	2.38	108	85	1.83	image3.png	0	0	1	1
2	56	(空段)	1	inline	2.43	2.25	93	86	1.57	image4.png	0	0	1	1
3	68	(空段)	1	inline	1.69	1.46	80	68	1.35	image5.png	0	0	1	1
4	80	(空段)	1	inline	2.04	2.04	97	96	1.64	image6.png	0	0	1	1
5	103	(空段)	1	inline	8.60	1.66	860	166	14.56	imageW2033.png	0	0	0	0
6	112	(空段)	1	inline	4.55	4.17	730	673	12.36	image7.png	0	0	0	1
7	113	(空段)	1	inline	4.50	4.12	730	673	12.36	image8.png	0	0	0	1
8	120	(空段)	1	inline	6.00	4.34	880	639	14.90	image9.png	0	0	0	0
9	121	(空段)	1	inline	6.00	4.34	881	639	14.92	image10.png	0	0	0	0
10	171	(空段)	1	inline	8.60	2.11	681	167	11.53	imageW2034.png	0	0	0	0
11	179	(空段)	1	inline	2.10	1.99	254	241	4.30	imageW2035.png	0	0	0	1
12	184	(空段)	1	inline	8.60	2.18	661	167	11.19	imageW2036.png	0	0	0	0
13	191	(空段)	1	inline	6.00	6.43	784	841	13.27	image11.png	0	0	0	0
14	207	(空段)	1	inline	8.30	2.36	584	166	9.89	imageW2037.png	0	0	0	0
15	249	(空段)	1	inline	4.67	2.94	276	174	4.67	imageW2038.png	0	0	0	1
16	250	(空段)	1	inline	8.60	2.49	696	201	11.78	imageW2039.png	0	0	0	0
17	273	(空段)	1	inline	8.60	4.47	1099	571	18.61	image12.png	0	0	0	0
18	274	(空段)	1	inline	7.20	4.29	951	571	16.10	image13.png	0	0	0	0
19	275	(空段)	1	inline	8.60	5.78	845	571	14.31	image14.png	0	0	0	0
20	276	(空段)	1	inline	3.70	3.70	571	571	9.67	image15.png	0	0	0	1
21	277	(空段)	1	inline	3.70	3.70	571	571	9.67	image16.png	0	0	0	1
22	327	(空段)	1	inline	8.60	6.09	905	643	15.32	image17.png	0	0	0	0
23	328	(空段)	1	inline	7.64	8.96	684	806	11.58	image18.png	0	0	0	0
24	342	(空段)	1	inline	7.50	5.79	1056	816	17.88	image19.png	0	0	0	0
25	343	(空段)	1	inline	6.00	7.36	888	1090	15.04	image20.png	0	0	0	0
26	368	(空段)	1	inline	3.89	3.15	230	186	3.89	imageW2040.png	0	0	0	1
27	398	(空段)	1	inline	4.70	3.90	304	252	5.15	imageW2041.png	0	0	0	1
28	401	(空段)	1	inline	5.01	3.42	296	203	5.01	imageW2042.png	0	0	0	0
29	405	(空段)	1	inline	3.96	2.76	234	163	3.96	imageW2043.png	0	0	0	1
30	429	(空段)	1	inline	8.60	7.82	796	728	13.48	image21.png	0	0	0	0
31	430	(空段)	1	inline	8.60	7.66	818	728	13.85	image22.png	0	0	0	0
32	462	(空段)	1	inline	7.30	6.98	987	949	16.71	image23.png	0	0	0	0
33	463	(空段)	1	inline	7.30	6.98	987	949	16.71	image24.png	0	0	0	0
34	496	(空段)	1	inline	4.84	4.89	183	185	3.10	imageW2044.png	0	0	1	1
35	536	(空段)	1	inline	7.15	2.48	482	167	8.16	imageW2045.png	0	0	0	0
36	543	(空段)	1	inline	4.52	3.25	267	192	4.52	imageW2046.png	0	0	0	1
37	549	(空段)	1	inline	8.60	2.14	707	176	11.97	imageW2047.png	0	0	0	0
38	551	(空段)	1	inline	8.60	2.93	661	226	11.19	imageW2048.png	0	0	0	0
39	555	(空段)	1	inline	8.60	2.26	634	166	10.73	imageW2049.png	0	0	0	0
40	560	(空段)	1	inline	4.06	3.04	240	180	4.06	imageW2050.png	0	0	0	1
41	574	(空段)	1	inline	3.78	2.94	223	173	3.78	imageW2051.png	0	0	0	1
42	576	(空段)	1	inline	4.00	2.98	239	177	4.05	imageW2052.png	0	0	0	1
43	577	(空段)	1	inline	8.60	1.89	774	171	13.11	imageW2053.png	0	0	0	0
44	610	(空段)	1	inline	2.75	3.49	96	122	1.63	image25.png	0	0	1	1
45	614	(空段)	1	inline	2.83	3.33	103	122	1.74	image26.png	0	0	1	1
46	618	(空段)	1	inline	2.88	2.99	105	109	1.78	image27.png	0	0	1	1
47	622	(空段)	1	inline	3.28	3.36	102	104	1.73	image28.png	0	0	1	1
48	636	(空段)	1	inline	8.60	3.51	634	259	10.73	imageW2054.png	0	0	0	0
49	649	(空段)	1	inline	2.70	3.62	93	125	1.57	image29.png	0	0	1	1
50	650	(空段)	1	inline	2.78	3.47	107	133	1.81	image30.png	0	0	1	1
51	651	(空段)	1	inline	3.36	3.31	108	106	1.83	image31.png	0	0	1	1
52	652	(空段)	1	inline	2.78	2.91	103	108	1.74	image32.png	0	0	1	1
53	669	(空段)	1	inline	2.79	3.54	176	223	2.98	imageW2055.png	0	0	0	1
54	686	(空段)	1	inline	2.79	3.53	165	209	2.79	imageW2056.png	0	0	0	1
55	692	(空段)	1	inline	8.60	2.44	586	166	9.92	imageW2057.png	0	0	0	0
56	734	(空段)	1	inline	3.92	3.48	233	207	3.95	imageW2058.png	0	0	0	1
57	740	(空段)	1	inline	3.80	3.29	228	197	3.86	imageW2059.png	0	0	0	1
58	746	(空段)	1	inline	3.55	4.37	154	190	2.61	imageW2060.png	0	0	1	1
59	775	(空段)	1	inline	8.60	2.34	611	166	10.35	imageW2061.png	0	0	0	0
60	794	(空段)	1	inline	4.23	3.51	250	208	4.23	imageW2062.png	0	0	0	1
61	815	(空段)	1	inline	3.60	2.70	253	189	4.28	imageW2063.png	0	0	0	1
62	833	(空段)	1	inline	8.60	3.94	531	243	8.99	imageW2064.png	0	0	0	0
63	843	(空段)	1	inline	6.45	4.33	381	255	6.45	imageW2065.png	0	0	0	0
64	851	(空段)	1	inline	7.20	3.91	486	264	8.23	imageW2066.png	0	0	0	0
65	863	(空段)	1	inline	6.40	2.33	450	164	7.62	imageW2067.png	0	0	0	0
