序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	6	(空段)	1	inline	6.83	4.53	430	285	7.28	image1.png	0	0	0	0
2	9	(字型)    (字型)	2	inline	4.62	4.79	291	302	4.93	image2.png	0	0	0	1
3	9	(字型)    (字型)	2	inline	4.59	4.62	289	291	4.89	image3.png	0	0	0	1
4	16	(空段)	1	inline	7.68	4.09	484	258	8.20	image4.png	0	0	0	0
5	23	(空段)	1	inline	5.02	3.61	316	227	5.35	image5.png	0	0	0	0
6	29	(空段)	1	inline	5.65	3.20	374	212	6.33	image6.png	0	0	0	0
7	32	(空段)	1	inline	7.12	4.02	471	266	7.97	image7.png	0	0	0	0
8	35	(空段)	1	inline	5.48	3.73	345	235	5.84	image8.png	0	0	0	0
9	39	(空段)	1	inline	5.25	3.66	347	242	5.88	image9.png	0	0	0	0
10	43	(空段)	1	inline	4.92	2.50	291	148	4.93	image10.png	0	0	0	1
11	50	(空段)	1	inline	8.60	5.96	2320	1607	39.28	image11.png	0	0	0	0
12	54	(空段)	1	inline	8.60	5.96	2320	1607	39.28	image12.png	0	0	0	0
13	57	(空段)	1	inline	6.71	6.64	1161	1149	19.66	image13.png	0	0	0	0
14	61	(空段)	1	inline	8.60	8.51	1161	1149	19.66	image14.png	0	0	0	0
15	65	(空段)	1	inline	6.32	5.71	853	770	14.44	image15.png	0	0	0	0
16	71	(空段)	1	inline	8.60	4.88	738	419	12.50	image16.png	0	0	0	0
17	78	(空段)	1	inline	4.97	2.59	313	163	5.30	image17.png	0	0	0	1
18	89	(空段)	1	inline	8.46	5.36	562	356	9.52	image18.png	0	0	0	0
19	91	(空段)	1	inline	4.47	2.78	661	411	11.19	image19.png	0	0	0	1
20	96	(空段)	1	inline	4.10	5.45	413	549	6.99	image20.png	0	0	0	1
21	102	(空段)	1	inline	4.09	5.43	412	547	6.98	image21.png	0	0	0	1
22	107	(空段)	1	inline	8.60	7.47	633	550	10.72	image22.png	0	0	0	0
23	115	(空段)	1	inline	5.65	3.20	374	212	6.33	image6.png	0	0	0	0
24	119	(空段)	1	inline	7.04	4.57	416	270	7.04	image23.png	0	0	0	0
25	122	(空段)	1	inline	7.53	4.11	445	243	7.53	image24.png	0	0	0	0
26	126	(空段)	1	inline	5.73	2.38	339	141	5.74	image25.png	0	0	0	0
27	131	(空段)	1	inline	7.12	4.02	471	266	7.97	image7.png	0	0	0	0
28	134	【详解】过作与交于，则，，，； ，；.	1	inline	7.97	4.45	471	263	7.97	image26.png	0	0	0	0
29	136	(空段)	1	inline	5.59	3.10	969	537	16.41	image27.png	0	0	0	0
30	144	(空段)	1	inline	6.76	3.87	447	256	7.57	image28.png	0	0	0	0
31	149	(空段)	1	inline	6.59	3.78	436	250	7.38	image29.png	0	0	0	0
32	152	(空段)	1	inline	8.60	4.76	524	290	8.87	image30.png	0	0	0	0
33	155	(空段)	1	inline	8.48	5.58	561	369	9.50	image31.png	0	0	0	0
34	157	(空段)	1	inline	8.60	2.00	1047	244	17.73	image32.png	0	0	0	0
35	160	(空段)	1	inline	8.60	5.01	512	298	8.67	image33.png	0	0	0	0
36	163	(空段)	1	inline	8.26	7.45	488	440	8.26	image34.png	0	0	0	0
37	169	(空段)	1	inline	8.12	4.82	480	285	8.13	image35.png	0	0	0	0
38	174	(空段)	1	inline	8.05	5.56	476	329	8.06	image36.png	0	0	0	0
39	184	(空段)	1	inline	8.60	2.48	3214	926	54.42	image37.png	0	0	0	0
40	188	(2)如图，连接．点是这个三角形三边垂直	1	inline	5.53	4.90	1045	926	17.69	image38.png	0	0	0	0
41	191	(空段)	1	inline	7.31	5.18	691	490	11.70	image39.png	0	0	0	0
42	198	(空段)	1	inline	7.26	5.20	686	491	11.62	image40.png	0	0	0	0
43	200	(空段)	1	inline	6.86	4.02	1232	722	20.86	image41.png	0	0	0	0
44	206	(空段)	1	inline	5.57	3.93	329	232	5.57	image42.png	0	0	0	0
45	213	(空段)	1	inline	4.29	4.92	254	291	4.30	image43.png	0	0	0	1
46	216	(空段)	1	inline	4.23	4.79	250	283	4.23	image44.png	0	0	0	1
47	219	(空段)	1	inline	4.24	4.76	251	282	4.25	image45.png	0	0	0	1
48	221	(空段)	1	inline	5.47	5.12	362	339	6.13	image46.png	0	0	0	0
49	225	(空段)	1	inline	6.12	6.05	362	358	6.13	image47.png	0	0	0	0
50	234	(空段)	1	inline	1.71	2.34	101	138	1.71	image48.png	0	0	0	1
51	239	(空段)	1	inline	6.80	4.72	402	279	6.81	image49.png	0	0	0	0
52	244	(空段)	1	inline	8.60	6.75	1657	1301	28.06	image50.png	0	0	0	0
53	246	(空段)	1	inline	6.36	3.63	1122	640	19.00	image51.png	0	0	0	0
54	250	(空段)	1	inline	6.36	3.63	1122	640	19.00	image52.png	0	0	0	0
55	255	(空段)	1	inline	6.29	4.41	372	261	6.30	image53.png	0	0	0	0
56	259	(空段)	1	inline	4.94	4.82	886	864	15.00	image54.png	0	0	0	1
57	265	(空段)	1	inline	8.60	8.78	964	984	16.32	image55.png	0	0	0	0
