# 件级（件名	件级起始start	件标识）
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1	第1章·讲练
人教B版选必1 第1章 空间向量与立体几何（下）·讲练件（79题）	79	第1章·讲练
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	1	第2章·讲练
人教B版选必1 第2章 平面解析几何（2.3.4—2.5.2）·讲练件（90题）	48	第2章·讲练
人教B版选必1 第2章 平面解析几何（2.6.1—2.7.2）·讲练件（68题）	99	第2章·讲练
人教B版选必1 第2章 平面解析几何（2.8）·讲练件（89题）	135	第2章·讲练
# 节级（件名	节号	节标题全文	件内页	部分内页码）
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.1.1	1.1.1 空间向量及其运算（第1—10题）　本节10题：简单6｜中档4｜难0	1	1
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.1.2	1.1.2 空间向量基本定理（第11—14题）　本节4题：简单2｜中档2｜难0	6	6
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.1.3	1.1.3 空间向量的坐标与空间直角坐标系（第15—24题）　本节10题：简单3｜中档7｜难0	11	11
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.2.1	1.2.1 空间中的点、直线与空间向量（第25—33题）　本节9题：简单2｜中档6｜难1	16	16
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.2.2	1.2.2 空间中的平面与空间向量（第34—40题）　本节7题：简单2｜中档5｜难0	24	24
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.2.3	1.2.3 直线与平面的夹角（第41—48题）　本节8题：简单1｜中档6｜难1	32	32
人教B版选必1 第1章 空间向量与立体几何（上）·讲练件（61题）	1.2.4	1.2.4 二面角（第49—61题）　本节13题：简单0｜中档13｜难0	45	45
人教B版选必1 第1章 空间向量与立体几何（下）·讲练件（79题）	1.2.5	1.2.5 空间中的距离（第62—140题）　本节79题：简单5｜中档61｜难13	1	79
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.1	2.1 坐标法（第1—1题）　本节1题：简单1｜中档0｜难0	1	1
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.2.1	2.2.1 直线的倾斜角与斜率（第2—7题）　本节6题：简单4｜中档2｜难0	1	1
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.2.2	2.2.2 直线的方程（第8—16题）　本节9题：简单2｜中档5｜难2	4	4
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.2.3	2.2.3 两条直线的位置关系（第17—29题）　本节13题：简单1｜中档11｜难1	9	9
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.2.4	2.2.4 点到直线的距离（第30—39题）　本节10题：简单0｜中档8｜难2	15	15
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.3.1	2.3.1 圆的标准方程（第40—53题）　本节14题：简单2｜中档11｜难1	20	20
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.3.2	2.3.2 圆的一般方程（第54—59题）　本节6题：简单1｜中档5｜难0	28	28
人教B版选必1 第2章 平面解析几何（2.1—2.3.3）·讲练件（92题）	2.3.3	2.3.3 直线与圆的位置关系（第60—92题）　本节33题：简单0｜中档27｜难6	30	30
人教B版选必1 第2章 平面解析几何（2.3.4—2.5.2）·讲练件（90题）	2.3.4	2.3.4 圆与圆的位置关系（第93—100题）　本节8题：简单1｜中档6｜难1	1	48
人教B版选必1 第2章 平面解析几何（2.3.4—2.5.2）·讲练件（90题）	2.4	2.4 曲线与方程（第101—119题）　本节19题：简单1｜中档12｜难6	5	52
人教B版选必1 第2章 平面解析几何（2.3.4—2.5.2）·讲练件（90题）	2.5.1	2.5.1 椭圆的标准方程（第120—146题）　本节27题：简单3｜中档18｜难6	17	64
人教B版选必1 第2章 平面解析几何（2.3.4—2.5.2）·讲练件（90题）	2.5.2	2.5.2 椭圆的几何性质（第147—182题）　本节36题：简单9｜中档18｜难9	31	78
人教B版选必1 第2章 平面解析几何（2.6.1—2.7.2）·讲练件（68题）	2.6.1	2.6.1 双曲线的标准方程（第183—198题）　本节16题：简单6｜中档9｜难1	1	99
人教B版选必1 第2章 平面解析几何（2.6.1—2.7.2）·讲练件（68题）	2.6.2	2.6.2 双曲线的几何性质（第199—218题）　本节20题：简单5｜中档13｜难2	7	105
人教B版选必1 第2章 平面解析几何（2.6.1—2.7.2）·讲练件（68题）	2.7.1	2.7.1 抛物线的标准方程（第219—232题）　本节14题：简单5｜中档9｜难0	16	114
人教B版选必1 第2章 平面解析几何（2.6.1—2.7.2）·讲练件（68题）	2.7.2	2.7.2 抛物线的几何性质（第233—250题）　本节18题：简单1｜中档17｜难0	26	124
人教B版选必1 第2章 平面解析几何（2.8）·讲练件（89题）	2.8	2.8 直线与圆锥曲线的位置关系（第251—339题）　本节89题：简单5｜中档75｜难9	1	135
