序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
1	12	(空段)	1	inline	4.47	5.01	809	919	13.70	image127.png	0	0	0	1
2	18	(空段)	1	inline	8.08	9.20	873	1012	14.78	image128.png	0	0	0	0
3	27	(空段)	1	inline	10.40	6.41	1306	806	22.11	image151.png	0	0	0	0
4	41	(空段)	1	inline	3.07	4.55	122	181	2.07	image321.png	0	0	1	1
5	43	(空段)	1	inline	2.38	3.33	112	157	1.90	image322.png	0	0	1	1
6	45	(空段)	1	inline	2.91	3.31	168	191	2.84	image323.png	0	0	1	1
7	47	(空段)	1	inline	3.81	2.78	192	141	3.25	image324.png	0	0	1	1
8	48	(空段)	1	inline	3.49	3.70	168	178	2.84	image325.png	0	0	1	1
9	51	墙角模型是三棱锥有一条侧棱垂直于底面且底	2	inline	1.96	0.50	169	43	2.86	image138.png	0	0	0	1
10	51	墙角模型是三棱锥有一条侧棱垂直于底面且底	2	inline	1.67	0.77	145	67	2.46	image139.png	0	0	0	1
11	52	(空段)	4	inline	5.59	5.47	330	323	5.59	image140.png	0	0	0	0
12	52	(空段)	4	inline	5.50	5.46	325	323	5.50	image141.png	0	0	0	0
13	52	(空段)	4	inline	5.57	5.57	329	329	5.57	image142.png	0	0	0	0
14	52	(空段)	4	inline	5.57	5.57	329	329	5.57	image143.png	0	0	0	0
15	53	(空段)	2	inline	4.86	3.92	287	231	4.86	image144.png	0	0	0	1
16	53	(空段)	2	inline	4.86	3.92	287	231	4.86	image145.png	0	0	0	1
17	54	(空段)	2	inline	4.86	3.92	287	231	4.86	image146.png	0	0	0	1
18	54	(空段)	2	inline	4.86	3.92	287	231	4.86	image147.png	0	0	0	1
19	55	(空段)	1	inline	18.00	7.13	1790	710	30.31	image149.png	0	0	0	0
20	65	(空段)	1	inline	7.25	5.05	431	300	7.30	image152.png	0	0	0	0
21	73	(空段)	1	inline	4.47	4.63	264	273	4.47	image159.png	0	0	0	1
22	85	(空段)	1	inline	5.98	4.80	371	298	6.28	image160.png	0	0	0	0
23	110	(空段)	1	inline	5.22	4.94	308	291	5.22	image162.png	0	0	0	0
24	126	(空段)	1	inline	3.76	3.60	142	136	2.40	image163.png	0	0	1	1
25	140	(空段)	1	inline	6.26	5.96	370	352	6.26	image164.png	0	0	0	0
26	162	(空段)	1	inline	13.42	11.32	1485	1258	25.14	image165.png	0	0	0	0
27	172	(空段)	1	inline	18.00	5.63	1961	615	33.20	image154.png	0	0	0	0
28	173	(空段)	1	inline	3.95	6.18	233	364	3.95	image155.png	0	0	0	1
29	174	(空段)	1	inline	18.00	6.93	1840	707	31.15	image157.png	0	0	0	0
30	182	(空段)	1	inline	6.23	5.57	368	329	6.23	image166.png	0	0	0	0
31	185	(空段)	1	inline	4.00	3.79	236	224	4.00	image167.png	0	0	0	1
32	198	类型Ⅳ，△ABC与△BCD都一般三角形，	2	inline	4.33	1.51	256	89	4.33	image169.png	0	0	0	1
33	198	类型Ⅳ，△ABC与△BCD都一般三角形，	2	inline	0.24	0.74	21	65	0.36	image170.png	0	0	0	1
34	199	(空段)	2	inline	4.44	4.05	262	240	4.44	image171.png	0	0	0	1
35	199	(空段)	2	inline	4.44	4.20	262	246	4.44	image172.png	0	0	0	1
36	200	(空段)	2	inline	4.35	4.14	257	246	4.35	image173.png	0	0	0	1
37	200	(空段)	2	inline	5.66	5.51	334	324	5.66	image174.png	0	0	0	0
38	201	(空段)	1	inline	18.00	5.36	1895	564	32.09	image176.png	0	0	0	0
39	209	(空段)	1	inline	5.61	6.09	486	527	8.23	image177.png	0	0	0	0
40	221	(空段)	1	inline	18.00	6.48	1881	676	31.85	image185.png	0	0	0	0
41	227	(空段)	1	inline	14.78	15.23	873	902	14.78	image186.png	0	0	0	0
42	235	(空段)	1	inline	6.60	9.34	390	551	6.60	image187.png	0	0	0	0
43	244	(空段)	1	inline	18.00	11.24	1932	1207	32.71	image188.png	0	0	0	0
44	256	(空段)	1	inline	14.21	7.06	839	417	14.21	image198.png	0	0	0	0
45	265	(空段)	1	inline	8.18	4.61	483	272	8.18	image199.png	0	0	0	0
46	270	(空段)	1	inline	9.63	5.41	569	319	9.63	image200.png	0	0	0	0
47	275	(空段)	1	inline	6.77	6.50	512	491	8.67	image201.png	0	0	0	0
48	282	(空段)	2	inline	6.75	5.58	1330	1106	22.52	image202.png	0	0	0	0
49	282	(空段)	2	inline	8.50	8.70	991	1015	16.78	image203.png	0	0	0	0
50	292	(空段)	1	inline	5.50	5.36	342	332	5.79	image204.png	0	0	0	0
51	293	(空段)	1	inline	5.50	5.36	342	332	5.79	image204.png	0	0	0	0
52	298	(空段)	1	inline	6.82	6.55	403	388	6.82	image205.png	0	0	0	0
53	306	(空段)	1	inline	5.80	4.60	344	273	5.82	image206.png	0	0	0	0
54	317	且四面体外接球最大是正方体的内切球，所以	1	inline	5.89	4.89	1177	986	19.93	image207.png	0	0	0	0
55	326	其面积为4，这样的截面共有3个（其特点是	1	inline	18.00	7.00	3988	1743	67.52	image208.png	0	0	0	0
56	330	(空段)	1	inline	4.40	4.16	260	246	4.40	image209.png	0	0	0	1
57	337	(空段)	1	inline	6.48	6.41	383	378	6.48	image210.png	0	0	0	0
58	347	(空段)	1	inline	3.60	3.60	172	172	2.91	image190.png	0	0	1	1
59	349	(空段)	1	inline	18.00	6.56	1889	688	31.98	image191.png	0	0	0	0
60	359	4．秒杀公式(万能公式)：r＝	1	inline	0.45	0.74	40	65	0.68	image196.png	0	0	0	1
61	361	(空段)	1	inline	18.00	5.63	1895	592	32.09	image197.png	0	0	0	0
62	370	(空段)	1	inline	6.03	3.02	356	178	6.03	image211.png	0	0	0	0
63	373	(空段)	1	inline	5.53	5.71	403	416	6.82	image212.png	0	0	0	0
64	381	(空段)	1	inline	8.55	7.54	505	446	8.55	image213.png	0	0	0	0
65	383	(空段)	1	inline	6.32	6.09	375	361	6.35	image214.png	0	0	0	0
66	394	(空段)	1	inline	14.80	11.69	874	693	14.80	image215.png	0	0	0	0
67	402	(空段)	1	inline	6.21	6.58	839	888	14.21	image216.png	0	0	0	0
68	413	(空段)	1	inline	7.24	7.24	430	432	7.28	image217.png	0	0	0	0
69	423	(空段)	1	inline	4.75	5.39	642	732	10.87	image218.png	0	0	0	1
70	434	(空段)	1	inline	18.00	16.12	1101	988	18.64	image219.png	0	0	0	0
71	450	(空段)	1	inline	6.47	6.19	1345	1293	22.77	image220.png	0	0	0	0
72	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	0.29	0.29	12	13	0.20	image221.png	0	0	1	1
73	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	2.70	1.11	116	48	1.96	image222.png	0	0	1	1
74	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	0.32	0.32	15	13	0.25	image223.png	0	0	1	1
75	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	4.89	0.69	289	41	4.89	image224.png	0	0	0	1
76	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	0.87	0.45	37	19	0.63	image225.png	0	0	1	1
77	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	0.32	0.32	15	13	0.25	image223.png	0	0	1	1
78	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	0.58	0.95	25	41	0.42	image226.png	0	0	1	1
79	457	【详解】设圆锥的高为，底面半径为，则当球	8	inline	0.61	0.45	27	19	0.46	image227.png	0	0	1	1
80	458	(空段)	1	inline	3.25	4.29	124	162	2.10	image228.png	0	0	1	1
81	467	(空段)	1	inline	8.81	8.19	927	860	15.70	image229.png	0	0	0	0
82	476	(空段)	1	inline	8.43	8.23	498	487	8.43	image230.png	0	0	0	0
83	483	(空段)	1	inline	5.81	5.49	343	324	5.81	image231.png	0	0	0	0
84	495	106．（中档·保80%·卡壳看答案）已	3	inline	0.58	0.40	25	17	0.42	image232.png	0	0	1	1
85	495	106．（中档·保80%·卡壳看答案）已	3	inline	0.53	0.37	23	16	0.39	image233.png	0	0	1	1
86	495	106．（中档·保80%·卡壳看答案）已	3	inline	0.64	0.45	27	19	0.46	image234.png	0	0	1	1
87	496	A．；B．；C．；D．	1	inline	0.90	1.03	39	45	0.66	image235.png	0	0	1	1
88	499	【详解】三棱锥展开后为一等边三角形，设边	6	inline	0.32	0.34	13	15	0.22	image236.png	0	0	1	1
89	499	【详解】三棱锥展开后为一等边三角形，设边	6	inline	1.32	0.53	57	23	0.97	image237.png	0	0	1	1
90	499	【详解】三棱锥展开后为一等边三角形，设边	6	inline	0.74	0.56	32	24	0.54	image238.png	0	0	1	1
91	499	【详解】三棱锥展开后为一等边三角形，设边	6	inline	0.29	0.29	12	13	0.20	image239.png	0	0	1	1
