# 授权项对账表（W-H卷89·零字符diff对账）
基线流80051字符 → 成品80024字符（差-27）＝ 删「＿」×28 ＋ 增全角空格×1，逐op diff 15块全部对应：

| 授权项（规格书§2） | 实测 | 对应 |
|---|---|---|
| §2.2 挖空双标记删「＿＿」空线run | 删＿×28（14处×2字符）；N15实测删空线run14/字符28、红旗0、残余＿=0 | ✓ |
| §2.3 节标题行与统计行合并（分隔全角空格至多1个） | 增全角空格×1（18半点分隔run）；合并1处（2.8节标题行×「本节89题…」统计段） | ✓ |
| §2.4 短行合并段落边界变化（零字符） | 枚举组合并32组（-38段）＋节标题合并1处（-1段）＝段落数1331→1292；流级零字符（上文唯一差异不含段落边界外字符） | ✓ |
| §2.1 衔接件两段式 | 不适用（本件讲练件，题号块三段式文本不变） | N/A |
| §2.5 图例行/结构图 | 不适用（清单件专属） | N/A |
| §2.6 字色/底纹/字号/行距/图尺寸/定理框（无文字变化） | N7深蓝186run+422挂点、三色底纹、字号双档、extent零改动——流级零差异佐证 | ✓ |
| §2.7 页脚页码改制 | 本轮不动页脚（M1统一）；页脚XML未触碰 | N/A |
| §2.8 配页件 | 不适用 | N/A |

结论：差异全部对应授权项，无未授权文字增删。
