idx	媒体	显示cm(w×h)	像素	分量数	最小px	p10px	中位px	最小视觉pt	p10视觉pt
1	image26.png	17.31×20.71	2044x2446	575	4	6	16	1.0	1.4
2	image27.png	12.43×5.80	1468x685	87	4	5	18	1.0	1.2
3	image28.png	11.68×10.41	1380x1229	134	4	6	23	1.0	1.4
4	image29.png	10.57×1.30	1249x153	12	4	4	17	1.0	1.0
5	image30.png	8.72×4.66	1030x550	52	5	8	20	1.2	1.9
6	image31.png	9.83×11.56	1161x1365	207	4	7	27	1.0	1.7
7	image2.png	9.90×4.92	1094x544	17	17	17	41	4.4	4.4
8	image3.png	7.69×6.46	810x686	20	17	17	53	4.5	4.5
9	image5.png	12.58×4.29	1359x468	22	23	23	41	6.0	6.0
10	image6.png	18.00×4.77	1408x374	88	4	7	13	1.4	2.5
11	image7.png	10.40×9.87	926x882	31	7	7	29	2.2	2.2
12	image8.png	5.57×5.31	737x706	3	49	49	52	10.4	10.4
13	image9.png	8.19×3.32	1127x464	4	20	20	51	4.1	4.1
14	image4.png	7.97×4.34	471x257	0	-	-	-	-	-
15	image10.png	5.72×6.18	911x992	7	35	35	62	6.2	6.2
16	image11.png	10.81×5.78	1284x687	6	26	26	54	6.2	6.2
17	image15.png	4.39×3.62	181x149	32	4	4	5	2.8	2.8
18	image12.png	7.62×6.07	1131x904	10	31	31	61	5.9	5.9
19	image13.png	7.82×4.75	462x283	24	4	5	12	1.9	2.4
20	image14.png	15.94×13.97	1334x1175	33	7	7	22	2.4	2.4
21	image16.png	10.02×5.05	592x298	0	-	-	-	-	-
22	image17.jpg	10.35×9.71	611x1089	52	5	8	18	1.3	2.0
23	image18.jpg	7.91×11.15	467x828	53	4	4	7	1.5	1.5
24	image19.png	7.77×2.14	459x127	84	4	4	4	1.9	1.9
25	image20.png	2.17×2.67	117x144	42	4	4	5	2.1	2.1
26	image21.png	0.29×0.29	24x27	1	27	27	27	8.2	8.2
27	image22.png	18.00×6.09	1892x641	114	4	5	29	1.1	1.3
28	image23.png	18.00×6.14	1211x412	96	4	4	6	1.7	1.7
29	image24.png	18.00×5.37	1895x564	159	5	6	35	1.3	1.6
30	image25.png	4.60×4.29	181x168	57	4	4	7	2.9	2.9
